Incident_ID,Age,Gender
20221022OHDUC,,
20221022ILCHC,Adult,Male
20221022ILCHC,Adult,Male
20221021OHSHS,Adult,
20221021CAGRS,Adult,
20221020COCAD,Adult,Male
20221020PAPAP,Adult,Male
20221019TNROR,,Male
20221018NVSUL,,
20221018ORJEP,,
20221017CAWIS,,
20221017FLORT,Adult,Male
20221016VAFAR,Adult,
20221014LAJHA,,
20220908LAJHA,Teen,
20221014NCJAG,Adult,
20221014NCJAG,Adult,
20221014VAWER,Adult,
20221014LABOB,Teen,
20221014LABOB,Teen,
20221014LABOB,15,
20221014TNRIM,,
20221013NYSCB,Adult,
20221013NYSCB,Adult,
20221013TXJOD,Child,
20221012NCCAC,14,Male
20221011ORREP,,
20221011KSSAS,15,Male
20221010WIJAM,17,Male
20221009MAWAA,,
20221008MOJCK,Teen,
20221007MIBAB,,
20221007NCJHG,,
20221007AZCAP,,
20221007OHWHT,,Male
20221006OHMAC,Adult,
20221004MAJB,17,Male
20221004NCPIS,Child,
20221003MIOXO,Adult,
20221001CACOO,37,Male
20220930OKMCT,,
20220930NYNEN,,
20220928LASEB,15,Male
20220928CARUO,Adult,
20220928CARUO,Adult,
20220927PAROP,21,Male
20220927PAROP,17,
20220927PAROP,15,
20220927PAROP,16,
20220927PAROP,,
20220927TXHGD,,
20220926GAVAV,,Male
20220923CANOC,Teen,Male
20220923WIROM,Adult,Male
20220923PAWEP,,
20220923DEAPM,,
20220923MNRIM,15,Male
20220923MNRIM,16,Male
20220921INJAS,Teen,
20220920NYINB,36,Female
20220919FLTRS,Adult,Male
20220919LALAN,Child,Male
20220917GAJOA,19,Male
20220916GALAA,Adult,
20220916GALAA,Adult,
20220916GALAA,Adult,
20220916NYPSN,Teen,Male
20220914PACON,Teen,
20220913UTBOB,Teen,Male
20220913MIJAJ,,
20220913MDOXO,,
20220913CAVAV,Teen,Male
20220909WIWIR,,
20220909WIMIM,,
20220907OHBEB,Adult,Male
20220907MDCAB,,
20220907WIBAM,17,Male
20220907WIBAM,27,Male
20220906IANOS,16,
20220906IANOS,14,
20220904FLBOL,Adult,Male
20220902MDMEB,17,Male
20220902INJEL,15,Male
20220831DCIDW,15,Male
20220831NMDEA,17,Male
20220831PAFRP,,
20220829CAMAO,12,Male
20220827MONOS,42,Male
20220826OHGAC,,
20220823OHINC,,
20220823OHART,Adult,
20220819LAAKN,12,Female
20220819OHGRG,18,Male
20220819TNWEC,16,Male
20220818FLLER,18,Male
20220816TXPOB,Teen,Male
20220815CALIS,17,Male
20220813ARMAL,,
20220812CASIV,,
20220811GAUCB,64,Male
20220810GAMCA,18,Male
20220809PACHP,Adult,
20220805MATHL,25,Male
20220805GAJOJ,27,Male
20220803PALEP,Adult,Male
20220731CAOAO,Adult,
20220731CAOAO,Adult,
20220731CAOAO,Adult,Male
20220730NYRHH,,
20220729INCOS,51,Male
20220728KSMOG,22,Male
20220726PALAL,20,Male
20220726TXCOC,Adult,Male
20220725NYBRB,Adult,Male
20220720CAJOV,Adult,Male
20220716NYCLS,Adult,Male
20220716GAAPF,Adult,
20220629CABUA,,
20220620ILGRC,,
20220613WAMAE,15,Male
20220610ALBYB,Teen,Male
20220609ALWAG,,
20220608ARLIL,,
20220607MIPED,,
20220605INWEG,Teen,
20220601CAULL,,Male
20220531LAMON,18,Male
20220531LAMON,40,Male
20220530CAHEL,Adult,Male
20220529ILDAC,,
20220529ILDAC,,
20220529ILDAC,,
20220526TXDUA,55,Male
20220526SCMEG,,
20220525ILSTC,,
20220524WIRIM,Teen,Male
20220524TXROU,18,Male
20220524DCPOW,,
20220523PASIP,,
20220520VAPOD,Teen,Male
20220520TNEAC,,
20220520OHCAC,Teen,Male
20220520ILSOP,Adult,Female
20220520ALMAT,,
20220519VAGER,,
20220519MIEAK,18,Male
20220519MIEAK,18,Male
20220519MIEAK,,
20220519MIEAK,,
20220519MIEAK,,
20220518TNRIM,17,Male
20220518FLPAP,13,Male
20220517ILWAC,7,
20220517CASAS,,
20220516TXMEM,Teen,
20220515NHBEB,Teen,Male
20220515NHBEB,Teen,Male
20220515ILMEP,16,Male
20220513GASOM,,
20220513FLALW,,
20220512TXHEH,18,Male
20220512ARHOH,25,Male
20220511FLJAJ,,Male
20220509NYEDS,Adult,Male
20220509GARIS,57,Female
20220505OHLOL,13,Male
20220505OHLOL,Adult,Female
20220505ALDOD,20,Male
20220503CAARS,,
20220501VALOM,Adult,Male
20220501OHHAC,,
20220430PAMCJ,Adult,Male
20220427TXMOS,,
20220427INCOS,Child,
20220426MIASI,Child,
20220426GASOM,,
20220426GASOM,Adult,Female
20220425WIWIM,,
20220425WIWIM,,
20220424MOHAF,18,Male
20220424MOHAF,18,Male
20220422ORHOS,Teen,Male
20220422DCEDW,23,Male
20220422CAMOR,,
20220421NDMOM,,
20220416IAMED,Adult,
20220415VAGAW,,Male
20220414MSNEP,Teen,Male
20220414MSNEP,Teen,Male
20220414MSNEP,Teen,Male
20220413MISHS,11,Male
20220411ARPIP,Teen,Male
20220410MALYL,,
20220406WVRIR,15,Male
20220406WASTM,,
20220406ORROP,,
20220405PAERE,Minor,Male
20220403INBLB,18,Male
20220403INBLB,15,
20220331SCTAG,12,Male
20220331PAACP,8,Male
20220330GABOA,31,Female
20220330AZKIK,14,Male
20220329VALUR,Teen,
20220329NVWEL,Adult,
20220328TXNOF,,
20220328NCOAC,18,Male
20220325UTHIS,Teen,Male
20220325UTHIS,Adult,Male
20220325TXROR,Teen,
20220325TXROR,Teen,
20220325TXROR,Teen,
20220325TXROR,Teen,
20220325TXROR,Teen,
20220325TNBRM,Adult,Male
20220324VARIW,20,Male
20220322VAJAR,Adult,
20220322TXWOD,Teen,
20220322FLNEN,17,Male
20220321MSLEP,Adult,Male
20220321MIMAK,36,Female
20220321AZDES,31,Male
20220319ALCEL,Adult,Male
20220318RICEP,17,Male
20220318RICEP,18,Male
20220318ILBAB,Teen,Male
20220317AKREW,Teen,Male
20220316CALOR,12,Male
20220315WAEIY,15,Male
20220315MDPAB,,
20220315MATEB,16,Male
20220315MATEB,17,Male
20220315GAFOF,Adult,
20220314CAKRP,Adult,Male
20220313PANEP,,
20220311WIJER,Child,
20220311OHMAM,,
20220311OHFAP,43,Male
20220311CADER,Teen,Male
20220310TNHAM,Adult,Female
20220310MDCOL,Adult,Male
20220310COROH,17,Male
20220309TXNOH,18,Male
20220309NMESE,,
20220309FLNOM,18,Male
20220309FLNOM,17,Male
20220307IAEAD,17,Male
20220307IAEAD,14,Male
20220307IAEAD,Teen,Male
20220307IAEAD,Teen,Male
20220307IAEAD,Teen,Male
20220307IAEAD,Teen,Male
20220304KSOLO,18,Male
20220303MIJWL,,Male
20220228NYBOB,Teen,Male
20220227DCDUW,,
20220225NMWEA,14,Male
20220225ALSOH,10,
20220223VAWOW,,
20220222TXALH,Adult,Male
20220222COLIP,,
20220221MDJOH,Adult,Male
20220220OKWIW,Adult,Male
20220220MSMCM,Teen,Male
20220219VACAC,,
20220218MATET,18,Male
20220218MATET,17,Male
20220218MATET,17,Male
20220218MATET,16,Male
20220217WAMCG,Adult,Male
20220214FLLAL,39,Male
20220211DCEAW,,
20220209NYMCB,17,Male
20220209MNMIM,Adult,Male
20220208NYMOM,,
20220208MDCAC,16,Male
20220204GASOD,Teen,Male
20220204ALWEB,,
20220203NCSPS,,
20220202KYLOR,,
20220201WIRUM,34,Male
20220201MNSOR,18,Male
20220201MNSOR,19,Male
20220201ILALC,Adult,Male
20220129WIBEB,Adult,Male
20220128LACAM,Adult,Male
20220127TXMOH,Adult,Male
20220126PABAP,,
20220124NVSUL,,
20220121MDMAR,17,Male
20220121GAMCA,19,Male
20220119VAMAP,19,Male
20220119VAMAP,18,Male
20220119VAMAP,Teen,Male
20220119PAPIP,,Male
20220119PAPIP,,Male
20220119FLSES,16,Male
20220119DCANW,Adult,Male
20220117TXPYH,Adult,Male
20220117TXPYH,Adult,Male
20220117TXPYH,Adult,Male
20220114MDGAG,27,Male
20220111NMVAA,,
20220106CAFLS,Teen,Male
20220104ILAUR,16,Male
20220104ILAUR,17,Male
20220103WACHP,Adult,Female
20220103OHCOC,,
20211229NCCAS,Teen,Male
20211229NCCAS,Teen,Male
20211217TXWOD,Teen,Male
20211216SCEAC,15,Male
20211216NYPSB,Adult,Male
20211214WISOM,18,Male
20211214VAMEN,18,Male
20211213NCWEC,Teen,Male
20211213FLEAO,Teen,
20211212NYSCR,21,Male
20211211GAJOG,17,Male
20211211FLEDL,Adult,Male
20211210OHCAC,Adult,Male
20211210NCJEC,,
20211210NCJEC,,
20211209NYGRN,Adult,Male
20211208MOEWK,,Male
20211208KYSTL,,
20211207ILHAC,23,Male
20211206NYSUS,16,Male
20211206CAWIW,Adult,Male
20211206CAWIW,Adult,Male
20211203ARBLB,19,Male
20211202WAGAS,Teen,Male
20211201TXSAP,21,Male
20211130TNHUH,21,Male
20211130OHWHW,18,Male
20211130MIOXO,15,Male
20211130CALOL,,
20211129ILWER,Teen,Male
20211129AZCHP,Teen,Male
20211126CAWES,Adult,Male
20211125SCCEP,,
20211124ILTHH,,
20211123OHCLC,Adult,Male
20211119MDGIB,,
20211119COHIA,16,Male
20211119COHIA,16,Male
20211119COHIA,16,Male
20211119COHIA,17,Male
20211116NYPSB,45,Male
20211116FLJAJ,Adult,
20211115NYPOP,13,Male
20211110NYITI,,
20211109NMMEL,Adult,Male
20211108NYTHB,Teen,Male
20211106FLOVO,Teen,Male
20211102NMHIH,12,Male
20211102NMHIH,12,Male
20211030PASTM,Adult,Male
20211027SCCAS,17,Male
20211026MSCAN,,
20211026ILWIC,Adult,Male
20211022PAPHP,18,Male
20211021NYPSB,Adult,Male
20211021GABES,33,Male
20211018PALIP,21,Male
20211017ARROR,28,Male
20211015CAKEF,33,Male
20211015ALWIM,19,Male
20211014MEREP,,
20211013PACHD,10,Male
20211013PACHD,10,Male
20211013ILMCC,,
20211012OKUNT,Teen,Male
20211012MIELK,,Male
20211012ILWEC,,
20211012ARLIL,,
20211011ORROP,,
20211008OKCOC,Teen,
20211007TXEAW,,
20211007PAANP,,
20211007NCEAD,39,Male
20211007DCWAW,18,Male
20211006TXTIA,18,Male
20211005NDHEH,Teen,
20211005NCGAC,Teen,Male
20211004PASCP,Adult,Male
20211004OHWOT,,Male
20211004ILLAC,,
20211001TXYEH,25,Male
20211001NCSEF,,
20211001NCNOD,,
20211001INBEI,16,Male
20211001INBEI,14,Male
20210930TNCUM,13,Male
20210930MSNEN,6,Male
20210929OHSHS,Adult,Female
20210928MESOS,,
20210927ILCAC,Child,
20210924VAESE,,
20210924TNSTS,18,Male
20210924TNSTS,17,Male
20210924MDWIB,,
20210924ALFAF,,
20210923IDRIR,13,Female
20210922NYSOB,,
20210922CTLIN,,
20210921PAVAP,,
20210921OHMIM,,
20210921KSEAW,17,Male
20210921GAFRA,Adult,
20210921FLLAL,Minor,
20210920VAHEN,15,Male
20210920OHEAC,,Male
20210920OHEAC,,Male
20210918COWIC,,
20210917VAHEH,,
20210917TNAUK,,
20210917PAWEP,Teen,
20210917NCPAW,Teen,Male
20210917GASWS,,
20210916WIORM,Adult,Male
20210916UTPRP,Teen,Male
20210916OHBEC,,
20210915VASPS,Child,
20210915KYMAL,Adult,
20210915ILCEC,15,Male
20210915ILCEC,17,Male
20210914TNLAL,15,Male
20210914MOMCH,Adult,Female
20210914MOMCH,Adult,Female
20210913SCEDC,54,Female
20210910CONOA,,Male
20210910CASTP,62,Male
20210909NCSHE,,
20210909MITRF,Teen,Male
20210909ILCHC,Adult,
20210908MNPRB,,
20210908MNPRB,,
20210908MNPRB,,
20210908ILCEC,18,Male
20210907TNLAL,15,Male
20210907PAHAH,Teen,Male
20210907MAOMG,18,Male
20210907MAOMG,18,Male
20210903NVDEL,Adult,
20210903NCJUC,,
20210903CAMTH,16,Male
20210903CAMTH,Teen,Male
20210903CABUB,Adult,Male
20210902NMALA,16,Male
20210902NMALA,Teen,
20210902INWEG,Teen,Male
20210902GAWOS,24,Male
20210902CASAL,17,Male
20210902CASAL,17,Male
20210902ARLIL,36,Female
20210901NCMTW,15,Male
20210901ILFRC,,
20210830NJWEN,,
20210830NCNEW,15,Male
20210830MDNEO,34,Male
20210830FLOKW,Teen,Male
20210828CASAS,,
20210827VTEDB,,
20210827VAFRW,17,Male
20210827PAACS,,
20210827PAACS,,
20210827PAACS,,
20210827PAACS,16,Male
20210827PAACS,18,Male
20210827KYAPO,Adult,Male
20210827INHAH,17,Male
20210826WAAKS,14,Male
20210826WAAKS,17,Male
20210826OHNOT,Adult,Male
20210826NYHAH,27,Male
20210822ILWER,17,Male
20210820NEMIO,Adult,
20210820CACEF,19,Male
20210818SCORO,14,Male
20210817COYED,18,Male
20210815VAROD,,
20210814SCDAH,,
20210814ILMAC,,
20210813NMWAA,13,Male
20210813GACAS,,
20210812GALIL,,
20210812CANOS,Teen,
20210811COMAC,,
20210811CAOAO,,
20210810OHEAC,12,Male
20210807ORGIP,,
20210806LASTH,17,Male
20210805GACHD,23,Male
20210804ALBUM,,
20210727WATYS,Adult,Male
20210721ILTHC,,
20210719TXCAC,Teen,
20210718ARFOL,Adult,
20210709KSCAW,Adult,Male
20210708ILBEC,Adult,
20210704NYDRR,,
20210628CASLF,Adult,
20210624ILABR,Adult,
20210620CAGRM,Adult,
20210614TXEAF,,Male
20210614NCROR,,
20210614NCROR,,
20210614NCROR,,
20210614NCRJW,26,Male
20210613PAWIP,,Male
20210613PAPAC,78,Male
20210612MOMCF,18,Male
20210610CTHOW,41,Male
20210610CTHOW,45,Male
20210609VAWIR,Teen,Male
20210609TXNOH,18,Male
20210608PAMUS,17,Male
20210608KSHAK,16,Male
20210608KSHAK,17,Male
20210607TXEAF,,
20210606VADRA,,
20210606VADRA,,
20210601ILLIC,17,Male
20210525NJPAP,15,Male
20210517TXBRE,13,Male
20210517TNAUM,51,Male
20210517MDLOC,18,Male
20210517MDLOC,20,Female
20210514CASAS,16,Male
20210514CASAS,16,Male
20210511NYPSB,Teen,Male
20210511CAVEL,,
20210506SCFOC,23,Male
20210506IDRIR,13,Female
20210505SCWAW,Teen,Male
20210505MICRC,Adult,Male
20210502ILCHC,Adult,
20210502ILCHC,Adult,
20210501MNBES,Adult,Male
20210501MNBES,Adult,Male
20210501MNBES,Adult,Male
20210430INMAI,Adult,Male
20210429NYURB,15,Male
20210429NYURB,16,Male
20210429CAVIV,17,Male
20210427TNLAM,Adult,Female
20210427DESMS,47,Male
20210426MNPLP,12,Male
20210420TXHAH,Adult,Male
20210420TXHAH,Adult,Male
20210418OHWED,,
20210413TNMAC,32,Female
20210412TNAUK,17,Male
20210412CASAS,36,Male
20210411INBIH,38,Male
20210407ILPEP,14,Male
20210406ILBAC,19,Male
20210401OKCLC,,
20210401ALSES,15,Male
20210327MAPEC,,
20210326MOCAS,33,Male
20210324ORFOS,Teen,Male
20210319WVSPM,Teen,Male
20210319WVSPM,Teen,Male
20210318KYGRL,36,Male
20210315INMEM,18,Male
20210315INMEM,20,Male
20210313TXLEA,66,Male
20210311OHCIC,Adult,
20210309TNSAK,,
20210308SCEDC,54,Female
20210301ARWAP,15,Male
20210226LAGEN,35,Male
20210224WAGAY,Teen,Male
20210222CAHOV,,
20210219ILLIR,,
20210217TNKNK,30,Male
20210216NCTHS,Child,Male
20210216NCTHS,Child,Male
20210214MNROM,,
20210210TXFOF,17,Male
20210210TXFOF,18,Male
20210210NJSCP,,
20210210LASTS,Adult,Male
20210208MISCG,,Male
20210205MDBEM,,
20210201MIMUD,Teen,Male
20210127MSHAH,14,Male
20210127FLHOH,Teen,
20210127FLHOH,Teen,
20210121OKLOG,Adult,Male
20210121OHEAC,Adult,Male
20210114MDHIW,,
20210110ILSOS,,
20210104NYPEJ,Adult,Male
20201229WAROS,,
20201225FLYOP,,
20201216ILDUC,,
20201211VATAY,,
20201207ILEAC,,
20201125KSABG,31,Male
20201124NCHEH,13,Male
20201117TXWEW,Teen,Male
20201117MTGRG,19,Male
20201116TNWIM,25,Male
20201113NCLIL,,
20201112PANAH,18,Male
20201112CACEU,Adult,
20201109TXCOH,,
20201109CABAL,Adult,Male
20201108INTET,23,Male
20201106AZKHT,74,Male
20201102COERE,,
20201029FLLAM,,
20201028NYROR,,
20201026GARIR,Adult,Male
20201024CTSTS,,
20201020ARJAP,17,Male
20201018KYSEL,,
20201014WAWAS,23,Male
20201014WAWAS,26,Male
20201014PABRB,11,Male
20201013RIRHP,,
20201012TXNOD,Adult,Male
20201012MNSHS,,
20201009FLJEJ,18,Male
20201005OKSOM,Teen,
20201005ARKIH,Adult,Male
20201005ARKIH,,
20201002PAMAE,,
20200930CADYL,,
20200928CTEAN,Adult,
20200925NJHAH,,
20200925ILROR,30,Male
20200924ILMCS,,Male
20200924CAWAC,25,Male
20200924CAWAC,27,Male
20200924CAWAC,29,Male
20200923PAWIW,22,Male
20200923FLHIJ,18,Male
20200921CAPLP,46,Male
20200920UTLIS,,
20200919CAKRS,,
20200918KYWIL,,
20200917ORDRP,,
20200917OHELA,Teen,Male
20200916WAARG,Adult,Male
20200916CASOS,20,Male
20200915UTVIB,27,Male
20200915SCYOR,,
20200910OHSAC,Adult,
20200910ILPEP,Adult,Male
20200909TXSOH,Adult,Male
20200909PAWEW,Adult,Male
20200904FLLOJ,Adult,
20200903GADOA,Adult,
20200830TXLOD,17,Male
20200825MOWEC,Adult,
20200817MIABG,Adult,Male
20200804PAKEP,29,Male
20200729ILCOC,17,Male
20200727AZCAO,40,Male
20200721SCBRO,21,Male
20200714MIWID,Adult,Male
20200704INLAM,22,Male
20200701ILFRP,25,Male
20200630OHLAW,19,Male
20200627VAHAS,17,Male
20200621INCOC,14,Male
20200621INCOC,16,Male
20200621INCOC,16,Male
20200618INJOI,,
20200616FLTOM,,Male
20200603IAGAD,Adult,Male
20200527OHLUC,21,Male
20200527OHLUC,Adult,Male
20200525ALORM,,Male
20200522OHMIC,,
20200519VAWEM,18,Male
20200515NCSTC,Adult,Male
20200505CAGOV,,
20200419NCABR,24,Male
20200413NEMOO,,Male
20200330GANAS,,
20200330GANAS,,
20200324LAROM,Adult,Male
20200324LAROM,26,Male
20200324LAROM,Adult,Male
20200318LABOS,Teen,Male
20200315TXATH,20,Male
20200313TNPIR,Adult,Male
20200310PASHN,41,Male
20200305FLSAW,55,Male
20200302TXNOF,Teen,Male
20200221NMCEA,,
20200215DCDUW,,
20200212MOJOF,Adult,Male
20200205NHSEC,17,Male
20200204LABEA,17,Male
20200203FLGEJ,,
20200201TXHIH,Adult,Male
20200131CADEA,15,Male
20200128TXLUL,17,Male
20200128TNWHM,18,Male
20200128NYMAQ,16,Male
20200127WAROY,18,Male
20200123CAOXO,,
20200121NEPAL,,
20200121ILLIC,,Male
20200119TXNOF,Adult,Male
20200119TXNOF,Adult,Male
20200117SCCAS,16,Male
20200117MITHH,25,Male
20200114TXPOM,17,Male
20200114TXPOM,17,Male
20200114TXBEH,16,Male
20200111TXELD,15,Male
20200110MSMCJ,13,Male
20200108FLGLB,,
20200107WASOK,16,Male
20200107WASOK,16,Male
20191228MOMAS,17,Male
20191221LAWES,34,Male
20191219FLLEN,50,Male
20191216CTCAN,Adult,Male
20191213VAMAN,17,Male
20191211KSCHT,,
20191211INEVE,,
20191210NJSAJ,47,Male
20191210NJSAJ,50,Female
20191210KSJCK,,
20191210ALDED,22,Male
20191204NMPIL,Adult,Male
20191203WITHM,13,Male
20191203WIOSO,Adult,Male
20191202WIWAW,17,Male
20191201ALMOM,31,Male
20191126WASAV,38,Male
20191125ILCAC,,Male
20191124CASEU,18,Male
20191124CASEU,17,Male
20191124CASEU,20,Male
20191121ILRIO,19,Male
20191115NJPLP,31,Male
20191115NJPLP,28,Male
20191114CASAS,16,Male
20191113CAESL,Adult,
20191111MDACB,,Male
20191108TXROD,,Male
20191108CAEDS,,
20191029NYNEN,,Male
20191027MDLAL,34,Male
20191022NJBRB,17,Male
20191022CARIS,17,Male
20191018OHWOT,,
20191018GACRS,19,
20191015LAGEN,,Male
20191011LARAR,15,Male
20191009MAGRL,,Male
20191009MAGRL,,Male
20191008TXWEH,,
20191008COSHS,16,Male
20191002GASOA,Adult,Male
20190927NCZEC,,
20190927CADER,17,Male
20190927CADER,Teen,Male
20190920PASIP,,Male
20190918MNFOC,28,Male
20190916VAPHH,,Male
20190916ILILK,,Male
20190914TXEAF,Adult,Male
20190913VAETN,,
20190913UTGRW,,Male
20190912KSMAM,Adult,Male
20190910SCSOA,Teen,Male
20190906PAWEM,,
20190906PAMCJ,40,Male
20190906ALCEC,,
20190902MDNOB,,
20190830OHCET,,Male
20190830NCKIK,17,Male
20190830ALLAM,17,Male
20190827NYROR,Adult,Male
20190827CAHOL,,
20190824PAWIP,,Male
20190823MOROS,,
20190823MOPAS,,Male
20190823GAPEC,15,Male
20190820PASAC,Adult,Male
20190817GALAA,15,Male
20190815TNEAN,15,Male
20190809NJWEN,16,Male
20190808ALBLM,38,Male
20190719CAMOS,Teen,Male
20190711CTBUH,23,Female
20190702AKWIA,22,Male
20190701NYSCN,Adult,Male
20190629COJAC,,Male
20190621MICAF,,
20190613NJTAW,46,Male
20190612PAJEE,16,Male
20190612PAJEE,18,Female
20190612DCHEW,,
20190610ILMEW,15,Male
20190610ILMEW,27,Male
20190606ILGEC,,
20190530DCHEW,,
20190522OHSAC,13,Male
20190517ORPAP,18,Male
20190517FLTEJ,19,Male
20190508ILSEC,18,Male
20190507COSTH,18,Male
20190507COSTH,16,Transgender
20190430VACDW,16,Male
20190430FLWEW,Adult,
20190426GACRF,Adult,
20190425GAWYS,,
20190424ARCOC,14,Male
20190417ILWAL,Teen,Male
20190410TXROH,,Male
20190410TXROH,,Male
20190407MAHOL,,
20190405WISTM,59,Male
20190403FLSAJ,,
20190403COAUA,30,Male
20190401ARPRP,14,Male
20190327MSSVH,,
20190327FLMAJ,,
